masa_panen,arus,Salinitas,suhu,total_produksi,modal
2022/01/18,0.49,33,28,2302,646402
2022/02/18,0.49,33,27,2589,896380
2022/03/18,0.49,33,29,2589,702758
2022/04/18,0.49,33,30,3340,875347
2022/05/18,0.49,33,29,3340,941311
2022/06/18,0.49,33,28,3340,1094184
2022/07/18,0.44,33,30,3477,943797
2022/08/18,0.44,33,30,3477,976342
2022/09/18,0.32,33,29,2318,648725
2022/10/18,0.32,33,29,2450,687960
2022/11/18,0.70,33,29,2450,687960
2022/12/18,0.80,33,30,2800,786240
